strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
The Void,hybrid,Earthy,Sweet,Skunk,Focused,100,Uplifted,97.69319493,Happy,83.96770473,Relaxed,80.85351788,Euphoric,72.3183391,Stress,100,Depression,98.85204082,Fatigue,90.81632653,Pain,77.93367347,Lack of Appetite,54.71938776,Dry Mouth,100,Dry Eyes,27.11598746,Dizzy,24.29467085,Paranoid,7.053291536,Headache,1.410658307
Tesla Tower,sativa,Sweet,Citrus,Pepper,Tingly,100,Uplifted,100,Energetic,88.88888889,Happy,88.88888889,Giggly,77.77777778,Depression,100,Pain,100,Stress,100,Eye Pressure,50,Fatigue,50,Dizzy,100,Dry Eyes,100,,,,,,
Raindance,hybrid,Sweet,Berry,Lime,Happy,100,Relaxed,100,Creative,66.66666667,Uplifted,62.28070175,Sleepy,57.89473684,Headaches,100,Insomnia,80.85106383,Stress,56.38297872,Depression,45.74468085,Inflammation,45.74468085,Dry Mouth,100,Dry Eyes,50,,,,,,
Slimer OG,hybrid,Citrus,Pine,Earthy,Euphoric,100,Relaxed,100,Happy,85.90909091,Uplifted,75.90909091,Creative,71.36363636,Depression,100,Lack of Appetite,91.17647059,Stress,91.17647059,Headaches,73.52941176,Pain,73.52941176,Dry Eyes,100,Headache,67.05882353,Dry Mouth,51.76470588,Anxious,22.35294118,,
Lucky Charms,hybrid,Berry,Citrus,Sweet,Happy,100,Relaxed,67.27542492,Euphoric,64.46096825,Uplifted,60.07057624,Creative,54.21595642,Stress,100,Depression,81.14559407,Pain,76.75271455,Headaches,50.37716642,Fatigue,34.38478806,Dry Mouth,100,Dry Eyes,42.25411061,Anxious,19.99402093,Dizzy,13.08669656,Paranoid,7.979073244
Riddler OG,hybrid,Flowery,Earthy,Pungent,Aroused,100,Talkative,100,Tingly,100,Uplifted,100,Creative,100,Inflammation,100,Depression,50,Headaches,50,Insomnia,50,Lack of Appetite,50,Dizzy,100,Dry Eyes,100,Dry Mouth,100,Anxious,100,,
Golden Tangie,sativa,Orange,Citrus,Sweet,Happy,100,Energetic,80,Euphoric,80,Focused,80,Aroused,60,Stress,100,Fatigue,66.66666667,Depression,33.33333333,Headaches,33.33333333,Inflammation,33.33333333,Anxious,100,,,,,,,,
Edelweiss,indica,Mint,Lemon,Flowery,Creative,100,Hungry,97.11649366,Relaxed,97.11649366,Sleepy,87.65859285,Happy,25.25951557,Stress,100,Pain,92.18203034,Inflammation,84.59743291,Depression,13.65227538,Muscle Spasms,9.568261377,Dry Mouth,100,Dry Eyes,96.27329193,Dizzy,1.242236025,Headache,0.621118012,Paranoid,0.621118012
Afghanimal,indica,Citrus,Skunk,,Hungry,100,Relaxed,100,Aroused,50,Sleepy,50,Focused,50,Eye Pressure,100,Headaches,100,Insomnia,100,Nausea,100,Pain,100,Dry Eyes,100,Dry Mouth,100,Anxious,50,,,,
Blue Afghani,indica,Blueberry,Sweet,Berry,Relaxed,100,Happy,94.54545455,Tingly,50,Sleepy,48.63636364,Hungry,45.90909091,Stress,100,Depression,89.38053097,Headaches,84.07079646,Insomnia,21.23893805,Lack of Appetite,18.5840708,Dry Eyes,100,Dry Mouth,28.42105263,Paranoid,3.157894737,,,,
Lemon Bubble,sativa,Lemon,Sweet,Earthy,Happy,100,Talkative,74.09470752,Energetic,71.3091922,Uplifted,67.13091922,Giggly,65.73816156,Pain,100,Muscle Spasms,95.76271186,Nausea,83.05084746,Eye Pressure,78.81355932,Seizures,74.57627119,Dry Mouth,100,Dizzy,16.66666667,Dry Eyes,16.66666667,Paranoid,16.66666667,Anxious,16.66666667
Nexus OG,indica,Tobacco,Sweet,Berry,Relaxed,100,Happy,92.30769231,Creative,46.15384615,Giggly,46.15384615,Euphoric,15.38461538,Depression,100,Fatigue,100,Insomnia,100,Lack of Appetite,100,Nausea,100,Dry Mouth,100,Dry Eyes,16.66666667,,,,,,
Bio-Jesus,hybrid,Earthy,Diesel,Chemical,Relaxed,100,Sleepy,66.47602707,Happy,60.10866457,Euphoric,55.57144219,Hungry,49.03250405,Pain,100,Stress,90.9214831,Muscle Spasms,40.28080698,Inflammation,36.61395856,Nausea,36.4912759,Dry Mouth,100,Dry Eyes,30.84488154,Dizzy,13.67903442,Headache,6.839517211,Paranoid,6.839517211
Americano,indica,Earthy,Diesel,Spicy/Herbal,Euphoric,100,Relaxed,100,Aroused,66.66666667,Creative,66.66666667,Focused,66.66666667,Headaches,100,Nausea,100,Pain,100,Dry Eyes,100,,,,,,,,,,,,
OG Shark,hybrid,Blueberry,Chemical,Spicy/Herbal,Relaxed,100,Happy,74.9136939,Uplifted,65.70771001,Euphoric,45.41618719,Sleepy,35.25124664,Stress,100,Fatigue,85.93925759,Insomnia,52.30596175,Depression,50.61867267,Pain,32.62092238,Dry Mouth,100,Dry Eyes,44.44444444,Dizzy,11.11111111,Paranoid,11.11111111,Anxious,7.936507937
Blukashima,hybrid,,,,Creative,100,Depression,100,Fatigue,100,Inflammation,100,Muscle Spasms,100,Pain,100,,,,,,,,,,,,,,,,,,
Hawaiian Punch,sativa,Citrus,Pineapple,Berry,Focused,100,Happy,76.10294118,Euphoric,66.69117647,Creative,53.97058824,Tingly,53.30882353,Headaches,100,Stress,89.38356164,Cramps,75.34246575,Pain,70.89041096,Depression,52.39726027,Dry Mouth,100,Paranoid,97.16803021,Dry Eyes,6.796727502,Dizzy,2.265575834,Anxious,1.699181875
Turbo Mind Warp,hybrid,Flowery,Earthy,Diesel,Happy,100,Uplifted,93.5483871,Euphoric,93.5483871,Relaxed,90.32258065,Tingly,83.87096774,Depression,100,Headaches,100,Pain,100,Fatigue,66.66666667,Stress,66.66666667,Dry Eyes,100,Dry Mouth,50,,,,,,
Cheeseburger,hybrid,Earthy,Cheese,Coffee,Tingly,100,Uplifted,100,Relaxed,75,Aroused,50,Creative,50,Pain,100,Inflammation,50,Depression,25,Eye Pressure,25,Headaches,25,Dry Mouth,100,Dizzy,50,Anxious,50,Dry Eyes,25,,
Root Beer Kush,sativa,Berry,Sweet,Vanilla,Creative,100,Energetic,42.44897959,Euphoric,28.16326531,Happy,27.34693878,Uplifted,24.89795918,Cramps,100,Stress,35.46511628,Depression,8.139534884,Nausea,6.976744186,Pain,5.813953488,Dry Mouth,100,Anxious,40.56603774,Dry Eyes,11.32075472,Paranoid,3.773584906,,
Aloha Limone,hybrid,Citrus,Sweet,Earthy,Euphoric,100,Happy,100,Tingly,88.23529412,Giggly,88.23529412,Focused,82.35294118,Lack of Appetite,100,Depression,14.28571429,Stress,14.28571429,Pain,7.142857143,Dry Eyes,100,Dry Mouth,100,,,,,,,,
Caramella,indica,Menthol,Spicy/Herbal,Sweet,Aroused,100,Euphoric,100,Relaxed,100,Eye Pressure,100,Insomnia,100,Pain,100,Spasticity,100,Dry Eyes,100,,,,,,,,,,,,,,
Chiquita Banana,hybrid,Sweet,Tropical,Citrus,Happy,100,Relaxed,81.18811881,Hungry,47.52475248,Creative,44.55445545,Talkative,39.6039604,Stress,100,Pain,75.92592593,Lack of Appetite,70.37037037,Depression,51.85185185,Insomnia,50,Dry Mouth,100,Dry Eyes,83.33333333,Paranoid,3.333333333,,,,
Tropic Thunder,hybrid,Tropical,Pineapple,Mango,Uplifted,100,Happy,89.62264151,Creative,85.37735849,Focused,83.96226415,Euphoric,77.12264151,Pain,100,Depression,75,Stress,75,Fatigue,50,Headaches,50,Dry Mouth,100,Dry Eyes,73.89162562,Paranoid,1.477832512,,,,
Disney Blue,hybrid,Berry,Sweet,Grape,Uplifted,100,Happy,64.1025641,Creative,62.82051282,Euphoric,44.87179487,Energetic,43.58974359,Stress,100,Depression,8.823529412,Fatigue,5.882352941,Headaches,5.882352941,Pain,5.882352941,Dry Mouth,100,Dry Eyes,12.5,Paranoid,6.25,,,,
Mossad,indica,Sweet,Lemon,Earthy,Euphoric,100,Focused,100,Relaxed,100,Headache,100,Paranoid,100,Anxious,100,,,,,,,,,,,,,,,,,,
Kona Gold,sativa,Tropical,Pineapple,Orange,Energetic,100,Giggly,96.19047619,Talkative,94.28571429,Uplifted,60,Euphoric,60,Depression,100,Stress,58,Nausea,43,Headaches,42,Lack of Appetite,42,Headache,100,Anxious,100,Dry Eyes,2.325581395,Dry Mouth,2.325581395,Paranoid,2.325581395
American Kush,indica,Sweet,Spicy/Herbal,Coffee,Relaxed,100,Happy,96.69421488,Tingly,95.8677686,Sleepy,94.21487603,Euphoric,93.38842975,Eye Pressure,100,Pain,7.407407407,Muscle Spasms,5.555555556,Stress,5.555555556,Headaches,4.62962963,Dizzy,100,Dry Eyes,4.62962963,Dry Mouth,4.62962963,Headache,1.851851852,Anxious,0.925925926
Flaming Cookies,indica,Spicy/Herbal,Diesel,Lemon,Relaxed,100,Euphoric,91.42857143,Uplifted,70,Happy,38.57142857,Sleepy,25.71428571,Pain,100,Insomnia,83.33333333,Stress,83.33333333,Depression,66.66666667,Lack of Appetite,50,Dry Mouth,100,Dizzy,66.66666667,Dry Eyes,66.66666667,Paranoid,66.66666667,Headache,33.33333333
Alien Dutchess,sativa,Earthy,Lemon,Citrus,Uplifted,100,Happy,93.57338195,Euphoric,85.05013674,Talkative,71.64995442,Energetic,71.64995442,Depression,100,Pain,64.84018265,Lack of Appetite,59.42596217,Stress,53.09849967,Fatigue,48.98891063,Dry Eyes,100,Dry Mouth,85.84415584,Anxious,11.68831169,,,,
Thai,sativa,Earthy,Woody,Tobacco,Uplifted,100,Focused,95.33342732,Happy,70.05968326,Energetic,68.2973824,Relaxed,41.16264862,Stress,100,Fatigue,93.76938638,Depression,22.57585974,Pain,20.79568442,Lack of Appetite,10.84288604,Dry Mouth,100,Headache,6.731796672,Dizzy,3.61776828,Anxious,1.763089605,Dry Eyes,1.259349718
Amnesia,sativa,Earthy,Lemon,Citrus,Happy,100,Euphoric,86.17537423,Relaxed,74.34286378,Uplifted,70.66061424,Talkative,67.14070138,Stress,100,Depression,73.30162412,Pain,67.97907082,Cramps,50.86265843,Eye Pressure,34.76562714,Dry Mouth,100,Dry Eyes,61.0200192,Dizzy,44.02734859,Paranoid,38.82109549,Anxious,10.64811895
Frisian Dew,hybrid,Woody,Pungent,Earthy,Euphoric,100,Relaxed,98.7854251,Happy,66.39676113,Giggly,65.18218623,Talkative,63.96761134,Stress,100,Pain,97.05882353,Depression,94.11764706,Lack of Appetite,94.11764706,Insomnia,85.29411765,Dry Mouth,100,Dry Eyes,95.40229885,Dizzy,8.045977011,Anxious,3.448275862,Paranoid,2.298850575
Jack Widow,hybrid,Sweet,Mango,Earthy,Relaxed,100,Sleepy,99.35483871,Happy,10.96774194,Uplifted,9.677419355,Euphoric,9.032258065,Stress,100,Pain,73.68421053,Nausea,42.10526316,Depression,36.84210526,Insomnia,36.84210526,Dry Mouth,100,Dry Eyes,73.68421053,Dizzy,10.52631579,Paranoid,5.263157895,,
Blue Satellite,sativa,Sweet,Berry,Blueberry,Euphoric,100,Happy,100,Uplifted,40.78947368,Talkative,30.26315789,Creative,30.26315789,Depression,100,Nausea,82.8125,Lack of Appetite,79.6875,Stress,43.75,Pain,25,Dry Mouth,100,Dry Eyes,87.87878788,Anxious,71.21212121,Paranoid,15.15151515,Dizzy,13.63636364
Alaska,sativa,Earthy,Sweet,Pine,Happy,100,Energetic,99.06976744,Euphoric,92.93023256,Creative,91.06976744,Talkative,71.72093023,Stress,100,Depression,94.92385787,Pain,46.1928934,Lack of Appetite,41.11675127,Fatigue,38.5786802,Dry Mouth,100,Headache,30.27522936,Dizzy,9.174311927,Paranoid,9.174311927,Dry Eyes,6.880733945
Kilimanjaro,sativa,Earthy,Woody,Lemon,Focused,100,Energetic,62.10971953,Uplifted,60.89257365,Happy,56.18274828,Relaxed,33.53325101,Depression,100,Stress,83.51851852,Fatigue,55.67901235,Pain,37.77777778,Headaches,25,Dry Mouth,100,Dry Eyes,29.76782753,Dizzy,7.628524046,Paranoid,5.721393035,Anxious,5.721393035
Alien Reunion,hybrid,Pungent,Skunk,Cheese,Euphoric,100,Uplifted,83.33333333,Happy,83.33333333,Relaxed,83.33333333,Talkative,66.66666667,Headaches,100,Inflammation,100,Lack of Appetite,100,Muscle Spasms,100,Pain,100,Dry Mouth,100,Dizzy,50,Dry Eyes,50,Headache,50,Paranoid,50
Gemstone,hybrid,Flowery,Earthy,Spicy/Herbal,Happy,100,Relaxed,99.15254237,Euphoric,95.76271186,Uplifted,92.37288136,Hungry,65.25423729,Lack of Appetite,100,Stress,15.78947368,Insomnia,7.894736842,Depression,5.263157895,Pain,5.263157895,Dry Mouth,100,,,,,,,,
Valley Girl,hybrid,Flowery,Sweet,Pine,Euphoric,100,Uplifted,93.47826087,Relaxed,88.99456522,Happy,48.36956522,Energetic,22.2826087,Depression,100,Stress,97.85478548,Fatigue,90.92409241,Eye Pressure,11.22112211,Pain,10.2310231,Dry Eyes,100,Dry Mouth,80.88235294,Anxious,60.29411765,Dizzy,20.58823529,Headache,10.29411765
Avi-Dekel,hybrid,Earthy,Sweet,Pine,Uplifted,100,Happy,93.60730594,Focused,90.86757991,Energetic,84.01826484,Creative,83.56164384,Pain,100,Inflammation,93.42105263,Stress,89.03508772,Depression,83.33333333,Headaches,80.70175439,Dry Mouth,100,Headache,25,Anxious,6.25,Dizzy,4.166666667,Dry Eyes,2.083333333
Hibiscus Sunrise,hybrid,Lavender,Sweet,Earthy,Relaxed,100,Tingly,90.14084507,Giggly,90.14084507,Euphoric,29.57746479,Uplifted,8.450704225,Inflammation,100,Pain,100,Depression,11.76470588,Fatigue,11.76470588,Insomnia,11.76470588,Dry Mouth,100,Anxious,3.03030303,,,,,,
Cronuts,hybrid,Diesel,Flowery,Earthy,Focused,100,Relaxed,100,Uplifted,50,Energetic,50,Euphoric,50,Depression,100,Fatigue,100,Inflammation,100,Lack of Appetite,100,Muscle Spasms,100,,,,,,,,,,
